Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
FDGRX,Fidelity® Growth Company,1/17/1983,No,US Equity Large Cap Growth,283.00,32792416236.00,18618.35,3.46,12.57,23.84,1.79,29.11,7.77,3.00,12.89,28.96,8.58,19.89,2.99,1.48,7.01,1.52,13.53,3.47,2.99,9.53,9.75
FDIVX,Fidelity® Diversified International,12/27/1991,No,Global Equity Large Cap,328.00,37660445726.00,31358.05,1.78,6.22,17.16,1.16,35.15,9.20,5.08,12.30,,14.85,14.91,1.38,0.78,3.82,3.36,8.61,-12.40,9.49,-0.83,0.03
FDLSX,Fidelity® Select Leisure,5/8/1984,No,Consumer Goods & Services Sector Equity,54.00,216748560.00,9719.26,3.18,9.79,18.73,1.42,42.01,7.72,9.01,21.13,17.60,15.17,16.50,3.03,1.16,8.23,2.05,12.81,15.11,-1.74,12.32,9.28
FDMIX,Fidelity Advisor® Communications Equip I,12/27/2000,No,Technology Sector Equity,113.00,14525045.00,7261.78,2.49,12.59,33.91,2.09,22.18,3.68,1.91,1.08,21.03,6.31,25.40,2.24,1.49,6.13,0.89,15.31,0.71,-2.71,5.97,14.65
FDSAX,AIG Focused Dividend Strategy A,6/8/1998,No,US Equity Large Cap Value,30.00,154202729.00,18776.02,2.71,6.75,13.52,0.72,48.14,8.43,7.45,25.52,9.74,16.50,12.89,2.63,0.49,6.15,5.17,6.87,3.33,-5.99,9.78,-9.03
FDSCX,Fidelity® Stock Selector Small Cap,6/28/1993,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FDSSX,Fidelity® Stock Selec All Cp,9/28/1990,No,US Equity Large Cap Growth,810.00,667723462.00,14224.13,2.13,7.82,18.40,1.16,35.16,6.83,4.26,10.65,18.56,9.90,16.23,1.96,0.86,5.18,1.92,11.28,-12.22,-29.82,-21.57,-24.27
FDSVX,Fidelity® Growth Discovery,3/31/1998,No,US Equity Large Cap Growth,171.00,763897837.00,19405.50,3.02,13.26,26.34,1.83,30.63,9.01,6.45,13.79,26.80,13.38,20.15,2.72,1.48,4.99,1.60,13.33,-15.49,-10.07,-11.91,-11.23
FDVIX,Fidelity Advisor® Diversified Intl I,12/17/1998,No,Global Equity Large Cap,256.00,4812496580.00,29712.13,1.70,6.03,17.11,1.07,37.66,8.94,4.68,12.22,,13.89,14.76,1.29,0.76,3.99,3.49,8.10,-11.11,1.80,1.64,3.43
FDVLX,Fidelity® Value,12/1/1978,No,US Equity Mid Cap,345.00,8226320994.00,6445.45,1.53,6.29,17.98,0.75,43.68,-0.96,-1.59,-1.80,14.51,1.66,15.79,1.35,0.60,4.31,3.38,10.72,-12.37,-7.53,1.98,2.33
FEAAX,Fidelity Advisor® Emerging Asia A,3/25/1994,No,Asia ex-Japan Equity,129.00,326090952.00,14336.21,2.32,,18.43,1.55,23.56,17.69,7.14,16.52,,,14.36,2.00,1.06,2.85,2.05,15.80,4.04,-13.88,0.15,27.11
FEAFX,First Eagle Fund of America Y,4/10/1987,No,US Equity Mid Cap,46.00,967216272.00,6669.42,2.32,8.32,14.74,1.02,42.18,4.79,2.36,9.46,,,14.25,2.56,0.84,6.64,1.01,11.31,1.40,-4.34,10.92,15.92
FELIX,Fidelity Advisor® Semiconductors I,12/27/2000,No,Technology Sector Equity,101.00,17881800.00,11442.82,2.60,12.08,41.39,1.98,18.00,-5.44,-4.72,-5.63,19.82,2.18,17.77,2.10,1.48,2.88,1.76,12.16,-1.78,-7.02,3.20,-1.57
FEMKX,Fidelity® Emerging Markets,11/1/1990,No,Emerging Markets Equity,203.00,4498004648.00,18080.48,2.60,6.92,9.65,1.56,30.44,15.17,7.29,18.13,,16.21,13.66,1.99,1.31,4.32,2.31,12.44,-13.66,-66.77,-46.38,12.43
FEMSX,Fidelity® Series Emerging Markets,12/9/2008,No,Emerging Markets Equity,173.00,1164370209.00,17815.67,2.31,7.39,14.63,1.56,28.38,15.82,7.07,17.31,,15.60,14.39,2.04,1.28,5.05,2.62,12.08,-5.83,-9.34,21.39,97.69
FEQIX,Fidelity® Equity-Income,5/16/1966,No,US Equity Large Cap Value,208.00,18543327266.00,35829.28,1.58,6.45,16.42,0.95,41.02,3.75,2.28,6.10,13.15,7.75,13.60,1.41,0.72,4.52,3.57,7.64,-9.38,-1.28,3.89,5.75
FEQTX,Fidelity® Equity Dividend Income,8/21/1990,No,US Equity Large Cap Value,197.00,5454855031.00,38201.67,1.58,6.55,16.91,0.99,41.13,3.75,2.53,6.47,13.47,7.74,13.63,1.40,0.74,4.53,3.64,7.65,-9.23,-0.45,3.90,7.26
FEUIX,Fidelity Advisor® Glbl Capital Apprec I,12/17/1998,No,Global Equity Mid/Small Cap,202.00,26596679.00,16766.05,1.71,7.00,14.58,1.12,34.89,6.48,3.76,9.48,33.48,8.88,14.94,1.41,0.97,5.54,2.40,12.84,28.21,-29.85,-16.50,-36.23
FEVIX,First Eagle US Value I,9/4/2001,No,US Equity Large Cap Blend,49.00,1085529877.00,18061.81,1.95,8.46,18.01,1.28,33.25,7.30,5.29,10.73,14.31,13.16,14.94,2.18,0.98,6.99,2.73,9.74,-3.23,0.78,9.29,12.42
FEXPX,Fidelity® Export and Multinational,10/4/1994,No,US Equity Large Cap Growth,52.00,2928367992.00,40797.64,2.57,12.94,22.71,2.07,27.19,8.43,6.10,13.24,17.66,13.09,18.20,1.95,1.24,7.70,1.75,11.76,19.10,10.56,11.65,11.65
FFEIX,Nuveen Dividend Value A,12/18/1992,No,US Equity Large Cap Value,80.00,728722349.00,33110.66,2.06,8.01,17.74,1.03,39.37,8.47,5.01,14.54,16.26,13.31,13.70,1.98,0.81,5.42,4.37,7.79,-5.39,-3.67,7.06,6.24
FFGIX,Fidelity Advisor® Global Commodity Stk I,3/25/2009,No,Natural Resources Sector Equity,279.00,298744831.00,24862.53,2.02,8.11,14.78,1.00,27.63,7.99,4.55,10.53,86.43,6.97,15.66,1.76,0.60,3.18,2.70,9.75,-2.13,-20.06,-6.03,-26.87
FFIDX,Fidelity,4/30/1930,No,US Equity Large Cap Growth,126.00,5445497602.00,38655.70,2.13,9.14,19.92,1.23,34.23,8.33,5.19,12.68,14.74,11.47,15.22,1.96,0.95,7.36,1.89,10.94,-5.88,1.75,7.72,7.99
FFIGX,Fidelity® Series International Growth F,12/3/2009,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
FFINX,Salient International Div Signal Inv,10/1/1998,No,Global Equity Large Cap,52.00,5115447.00,16919.62,1.78,6.17,13.82,0.96,25.88,14.65,7.33,17.94,,12.95,12.11,0.93,0.97,3.86,5.06,14.71,3.08,13.08,8.21,16.44
FFREX,Salient Real Estate Inv,5/10/1999,No,Real Estate Sector Equity,33.00,32767234.00,4005.34,1.89,,31.88,4.58,52.40,11.04,1.77,5.24,,,37.30,1.76,3.52,10.46,5.84,5.56,2.98,3.11,0.13,-67.64
FFRZX,Templeton Frontier Markets Adv,10/14/2008,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
FFSIX,Fidelity Advisor® Financial Services I,9/3/1996,No,Financials Sector Equity,76.00,154692957.00,9955.64,1.16,,13.60,1.23,45.45,3.32,1.55,3.08,,,13.31,1.03,0.78,2.77,3.74,10.98,-30.30,-11.46,-8.48,-6.58
FFSTX,Fidelity® Series International Sm Cap F,12/3/2009,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FFVNX,Fidelity® Series International Value F,12/3/2009,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
FGFAX,Federated International Leaders A,9/30/1998,No,Global Equity Large Cap,47.00,238650634.00,16571.84,1.37,5.54,17.27,1.02,35.80,9.96,2.95,8.78,,,15.72,1.45,0.60,5.65,2.49,10.51,64.83,1.29,56.35,360.56
FGINX,First Investors Growth & Income A,10/4/1993,No,US Equity Large Cap Blend,148.00,644753514.00,14986.01,2.15,8.42,16.43,1.15,36.78,9.39,5.68,16.63,11.95,13.09,13.80,2.13,0.97,6.77,2.68,10.78,1.67,-1.30,8.79,3.63
FGIOX,Fidelity Advisor® Growth & Income I,12/31/1996,No,US Equity Large Cap Blend,232.00,1585326282.00,38252.07,2.31,10.46,20.08,1.39,32.89,7.21,4.91,11.71,18.26,11.66,15.75,2.09,1.09,6.37,2.02,11.01,-6.67,-0.41,6.41,10.45
FGIYX,Nuveen Global Infrastructure I,12/17/2007,No,Other Sector Equity,125.00,74486606.00,5515.78,1.75,7.52,14.49,1.24,,17.05,4.14,11.97,-9.10,10.17,14.52,1.38,1.00,6.34,5.53,9.15,-29.43,-22.06,-22.58,-46.65
FGLDX,Invesco Gold & Precious Metals Invstor,1/19/1984,No,Precious Metals Sector Equity,32.00,455322536.00,8437.98,2.62,16.05,35.51,5.35,14.77,15.16,0.45,3.88,135.87,6.63,21.24,1.80,1.86,2.07,0.84,14.90,28.43,12.17,21.59,16.42
FGRIX,Fidelity® Growth & Income,12/30/1985,No,US Equity Large Cap Blend,236.00,6508166536.00,36918.97,2.30,9.99,19.99,1.37,33.54,7.04,4.74,11.20,17.57,11.44,15.63,2.09,1.07,6.29,2.08,11.01,-6.77,-2.16,3.64,7.06
FGRTX,Fidelity® Mega Cap Stock,12/28/1998,No,US Equity Large Cap Blend,108.00,392351678.00,64510.95,2.15,9.27,18.96,1.27,34.76,9.29,5.94,14.59,14.35,12.70,15.03,1.92,1.00,6.81,2.64,9.74,-5.36,5.00,8.24,7.92
FGSAX,Federated MDT Mid Cap Growth A,8/23/1984,No,US Equity Mid Cap,105.00,342182330.00,7555.55,2.92,10.38,21.91,1.36,32.38,7.26,4.20,12.41,18.73,5.88,18.14,2.71,1.00,5.17,1.71,12.93,57.58,-18.93,-15.44,-15.67
FHCIX,Fidelity Advisor® Health Care I,9/3/1996,No,Healthcare Sector Equity,100.00,416426865.00,10316.27,2.76,12.24,19.52,1.41,29.42,9.60,5.17,13.84,16.43,8.89,15.03,2.70,1.27,10.22,0.43,11.76,5.51,1.33,12.38,9.98
FHEIX,Fidelity Advisor® Real Estate I,9/12/2002,No,Real Estate Sector Equity,47.00,261473261.00,4381.60,1.67,,35.97,2.38,58.04,4.81,0.10,2.03,,,39.51,1.36,1.68,6.50,7.78,6.08,9.86,-0.08,4.88,16.43
FHKCX,Fidelity® China Region,11/1/1995,No,Greater China Equity,124.00,2426747444.00,18129.10,2.46,8.31,12.81,1.94,,24.19,7.77,17.54,,18.76,15.19,1.86,1.33,2.34,4.49,16.18,-8.31,-60.21,-43.22,-13.04
FICDX,Fidelity® Canada,11/17/1987,No,Other Equity,101.00,3629134920.00,14983.12,2.08,9.25,19.28,1.72,28.20,12.38,4.46,11.89,66.93,7.92,15.18,1.73,1.15,3.17,2.82,14.44,11.84,11.46,14.80,15.45
FICEX,Frost Growth Equity Inst,4/25/2008,No,US Equity Large Cap Growth,56.00,263937514.00,35371.74,2.96,12.31,24.53,1.77,23.89,10.65,8.53,16.79,20.82,14.48,17.85,2.83,1.21,7.19,1.62,11.93,0.08,7.35,16.04,9.59
FICGX,First Investors Select Growth A,10/25/2000,No,US Equity Large Cap Growth,40.00,186259335.00,18559.98,2.93,10.16,20.69,1.27,32.44,8.32,5.56,17.76,13.99,17.66,14.99,2.58,1.06,7.68,2.29,10.92,0.12,6.41,10.90,11.41
FIDAX,JHancock Financial Industries A,3/14/1996,No,Financials Sector Equity,62.00,320942074.00,16484.90,1.23,,15.47,1.52,42.46,5.64,1.20,5.59,,,12.39,1.17,1.51,2.61,3.76,10.11,-18.57,1.52,0.36,-3.93
FIDSX,Fidelity® Select Financial Services Port,12/10/1981,No,Financials Sector Equity,75.00,470176127.00,9956.76,1.15,,13.61,1.23,45.48,3.30,1.55,3.06,,,13.31,1.03,0.78,2.76,3.73,10.96,-30.29,-11.46,-8.51,-6.70
FIDVX,Frost Value Equity Inst,4/25/2008,No,US Equity Large Cap Value,56.00,219290535.00,37994.56,1.96,8.14,17.18,1.50,32.22,9.91,5.23,14.13,18.18,11.02,13.14,1.93,1.10,5.32,3.32,8.69,-2.32,0.13,10.00,13.17
FIEMX,Fidelity Advisor® EMEA I,5/8/2008,No,Emerging Markets Equity,76.00,132104668.00,11541.83,1.88,7.41,8.40,1.42,22.17,15.54,8.04,19.11,,,11.21,1.13,1.26,4.70,3.51,10.47,-42.09,-24.50,2.75,19.30
FIENX,Fidelity® International Enhanced Index,12/20/2007,No,Global Equity Large Cap,299.00,21366225.00,30204.19,1.57,4.70,12.85,0.86,37.83,9.23,4.76,13.74,,17.82,13.43,1.26,0.63,3.19,5.68,6.54,-11.10,-17.01,-6.76,-21.22
FIEUX,Fidelity® Europe,10/1/1986,No,Europe Equity Large Cap,150.00,2497481288.00,30412.26,1.63,4.89,14.88,0.91,38.85,8.89,4.51,11.84,,9.57,13.91,1.28,0.63,3.23,4.90,6.55,13.76,-14.00,-0.72,5.51
FIGRX,Fidelity® International Discovery,12/31/1986,No,Global Equity Large Cap,240.00,10227502234.00,21968.58,1.70,5.44,16.14,0.91,38.18,8.16,4.79,11.46,,10.25,15.61,1.37,0.67,3.57,4.61,8.61,-22.90,23.03,1.56,7.31
FIGWX,Nuveen Large Cap Growth Opps I,12/29/1992,No,US Equity Large Cap Growth,77.00,592719041.00,28517.43,4.04,13.91,24.51,2.10,28.00,12.04,8.74,22.64,17.51,17.12,19.96,3.98,1.62,11.19,1.21,14.02,11.99,8.60,14.79,17.41
FIGZX,Franklin India Growth Adv,1/31/2008,No,India Equity,0.00,88227187.00,,,,,,,,,,,,,,,,,,,,,
FIIIX,Fidelity Advisor® International Growth I,11/1/2007,No,Global Equity Large Cap,158.00,25512271.00,18740.01,2.29,8.49,17.32,1.46,33.70,11.28,6.92,17.50,17.64,13.12,16.88,1.59,0.79,5.54,3.09,13.00,683.46,-4.29,-6.65,0.26
FIIMX,Fidelity Advisor® Mid Cap II I,8/12/2004,No,US Equity Mid Cap,232.00,2033641450.00,4412.70,2.07,9.24,18.50,1.12,24.15,10.22,7.04,14.18,15.46,12.28,16.71,2.07,0.95,7.20,1.39,11.57,-19.88,4.06,11.37,11.07
FIINX,First Investors International A,6/27/2006,No,Global Equity Large Cap,53.00,120276323.00,24405.32,3.73,11.17,18.52,1.57,36.02,16.07,11.69,28.63,18.43,27.15,14.61,2.23,0.98,8.03,3.59,9.99,-7.33,-4.60,7.57,7.23
FIISX,First Investors Global A,11/16/1981,No,Global Equity,175.00,269195378.00,40244.67,2.01,5.02,16.08,1.12,35.58,9.93,5.95,13.84,1.96,11.42,13.86,1.56,0.89,4.37,2.77,9.79,-1.54,2.71,-3.06,6.56
FIKDX,Frost Kempner Multi-Cap Deep Val Eq Inst,4/25/2008,No,US Equity Large Cap Value,41.00,151232231.00,24831.10,1.43,5.82,14.52,0.81,39.55,4.18,0.81,7.83,9.62,7.67,11.63,1.47,0.59,3.23,4.50,8.32,-6.03,-8.69,8.41,4.04
FIKSX,Frost Mid Cap Equity Inst,4/25/2008,No,US Equity Mid Cap,50.00,13850594.00,3436.26,2.09,11.66,24.24,1.53,30.14,6.72,3.63,9.74,25.20,7.89,19.67,2.13,1.20,6.23,1.33,13.95,6.41,-0.87,9.10,18.33
FILFX,Strategic Advisers® International,3/23/2006,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
FIMKX,Fidelity Advisor® Emerging Markets I,3/29/2004,No,Emerging Markets Equity,202.00,602958727.00,17664.05,2.60,6.94,9.65,1.55,30.44,15.06,7.24,18.03,,16.10,13.71,1.99,1.31,4.35,2.29,12.45,-13.49,-66.80,-46.43,12.64
FIMPX,Nuveen Small Cap Growth Opp I,8/1/1995,No,US Equity Small Cap,76.00,157841534.00,1103.67,2.21,9.64,24.85,1.52,22.85,1.60,1.35,2.42,28.46,-0.96,21.68,1.88,1.07,5.99,0.57,14.33,4.97,10.42,13.93,20.29
FINEX,Templeton Foreign Smaller Companies A,9/20/1991,No,Global Equity Mid/Small Cap,78.00,186260359.00,820.80,1.16,5.94,11.92,0.46,,4.50,2.97,6.69,,5.52,12.95,0.97,0.30,3.09,3.86,8.63,-4.00,-13.46,-14.11,-17.62
FINSX,Fidelity Advisor® New Insights I,7/31/2003,No,US Equity Large Cap Growth,451.00,12249703091.00,32759.34,3.06,13.53,24.35,2.23,23.89,13.40,8.35,17.84,20.06,15.63,18.84,2.71,1.47,6.39,1.59,10.60,-7.73,-5.94,-8.66,-5.27
FIREX,Fidelity® Intl Real Estate,9/8/2004,No,Real Estate Sector Equity,59.00,371440844.00,8663.86,1.01,,14.71,4.02,,38.76,-2.07,-5.15,,,16.56,0.85,3.48,6.56,8.76,11.31,-13.91,-5.21,-6.58,-46.75
FISEX,Franklin Equity Income A,3/15/1988,No,US Equity Large Cap Value,39.00,724320198.00,52349.99,2.55,8.76,17.46,1.38,36.38,11.64,6.66,19.74,15.32,13.54,13.65,2.11,1.06,7.24,3.43,8.48,0.45,4.72,11.08,0.63
FISGX,Nuveen Mid Cap Growth Opps I,12/28/1989,No,US Equity Mid Cap,89.00,1304470620.00,6499.17,3.51,12.87,22.47,1.94,23.94,9.82,7.65,16.40,20.44,13.59,20.89,3.35,1.48,6.08,0.80,14.17,11.48,9.17,15.06,21.61
FISMX,Fidelity® International Small Cap,9/18/2002,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
FISPX,Federated Max-Cap Index Instl,7/11/1990,Yes,US Equity Large Cap Blend,515.00,477094473.00,43381.17,2.18,8.99,18.43,1.22,35.67,8.41,5.78,14.53,15.14,13.61,14.67,2.09,1.00,6.21,2.74,9.37,-5.27,-1.99,6.94,9.40
FISSX,First Investors Special Situations A,9/18/1990,No,US Equity Small Cap,68.00,266548828.00,1827.83,1.55,6.99,14.71,0.87,28.90,6.65,2.90,9.03,12.92,6.81,13.68,1.64,0.81,5.20,2.22,10.78,1.57,0.74,8.65,9.14
FIUIX,Fidelity® Telecom and Utilities,11/27/1987,No,Utilities Sector Equity,36.00,753298273.00,9422.15,1.57,4.46,13.81,0.91,58.34,6.67,1.95,7.96,16.49,6.00,12.67,1.59,0.75,4.05,3.37,6.12,7.13,3.26,5.87,4.73
FIUSX,First Investors Opportunity A,8/24/1992,No,US Equity Mid Cap,113.00,399888728.00,4228.32,2.03,8.38,18.02,1.10,35.80,8.37,4.26,12.18,16.33,10.36,14.88,1.90,0.93,5.87,1.88,12.90,3.73,3.08,10.35,5.41
FIUTX,First Investors Equity Income A,2/22/1993,No,US Equity Large Cap Value,157.00,338391155.00,21818.20,1.91,7.97,17.43,1.07,36.98,7.23,4.91,14.30,13.87,10.65,13.97,1.89,0.84,6.50,3.36,9.01,-2.77,0.00,9.15,5.44
FIVFX,Fidelity® International Capital Apprec,11/1/1994,No,Global Equity Large Cap,154.00,535889994.00,11329.18,1.36,4.84,10.97,0.85,41.73,6.28,2.74,7.73,,6.38,13.37,1.10,0.74,3.85,2.84,11.57,28.03,-33.30,-19.66,-37.36
FIVQX,Fidelity Advisor® International Value I,5/18/2006,No,Global Equity Large Cap,143.00,197731488.00,34572.65,1.31,4.68,15.37,0.77,37.75,8.45,2.96,8.13,,7.17,12.55,1.18,0.60,3.02,5.44,7.47,-23.50,-1.62,4.28,4.14
FJPNX,Fidelity® Japan,9/15/1992,No,Japan Equity,87.00,1016013462.00,9130.70,1.11,4.23,19.14,0.59,27.16,2.08,1.84,2.72,,2.51,19.84,1.04,0.52,2.99,2.58,10.91,-20.35,0.25,-3.62,-1.26
FJSCX,Fidelity® Japan Smaller Companies,11/1/1995,No,Japan Equity,,,,,,,,,,,,,,,,,,,,,,,
FKASX,Federated Kaufmann Small Cap A,12/18/2002,No,US Equity Small Cap,188.00,1086666156.00,1035.88,2.25,9.30,22.47,1.25,32.45,1.62,-2.35,1.28,33.90,-3.12,19.30,1.93,0.87,5.46,0.90,17.82,-26.00,-12.65,-6.43,17.66
FKDNX,Franklin DynaTech A,1/2/1968,No,US Equity Large Cap Growth,70.00,671715947.00,27868.60,4.03,17.49,28.06,3.64,15.48,16.19,11.35,20.40,20.12,18.20,21.68,3.71,2.58,9.21,0.89,14.02,18.38,16.67,16.46,19.52
FKGRX,Franklin Growth A,4/1/1948,No,US Equity Large Cap Growth,152.00,3268292653.00,27325.62,2.74,11.21,19.05,1.31,31.18,10.49,7.03,14.99,15.65,13.97,15.75,2.74,1.07,8.75,1.93,11.08,8.26,2.21,8.58,7.28
FKRCX,Franklin Gold and Precious Metals A,5/19/1969,No,Precious Metals Sector Equity,72.00,2380148888.00,5880.60,2.97,19.56,34.27,6.28,12.97,5.76,-1.18,0.19,-26.55,-2.97,23.13,1.71,2.68,1.97,0.85,16.11,37.14,9.88,15.89,14.16
FKSCX,Franklin Intl Small Cap Growth Adv,10/15/2002,No,Global Equity Mid/Small Cap,32.00,101043655.00,1309.76,1.77,8.55,10.87,1.15,,7.26,6.46,22.19,,22.60,14.61,1.42,0.63,4.95,2.52,21.84,18.16,1.65,0.70,4.96
FKUTX,Franklin Utilities A,9/30/1948,No,Utilities Sector Equity,47.00,2282705478.00,11552.31,1.44,5.17,14.47,1.07,53.71,8.15,2.74,10.41,51.81,5.85,12.05,1.45,0.90,5.74,4.79,6.12,3.73,3.25,4.26,-2.09
FLAGX,Meeder Aggressive Growth Retail,2/29/2000,No,US Equity Large Cap Blend,0.00,30018150.00,15844.46,1.99,7.64,17.41,0.98,31.82,7.61,4.21,10.75,18.26,8.84,16.56,1.74,0.74,4.85,2.31,19.06,110.08,-36.42,-36.05,-39.57
FLATX,Fidelity® Latin America,4/19/1993,No,Latin America Equity,78.00,4619160296.00,22186.29,2.80,7.40,15.17,1.95,36.15,15.97,8.06,19.38,,15.61,14.54,1.70,1.22,4.64,6.33,10.67,75.82,-4.05,85.38,235.93
FLCEX,Fidelity® Large Cap Core Enhanced Index,4/19/2007,No,US Equity Large Cap Blend,203.00,1057023830.00,41712.40,2.26,8.11,16.88,1.15,35.73,10.74,6.37,16.87,12.48,14.78,13.89,2.10,0.93,5.89,2.63,9.68,0.03,-1.57,9.72,14.39
FLCGX,Meeder Quantex Retail,3/20/1985,No,US Equity Mid Cap,98.00,12691523.00,3601.08,1.60,6.89,,0.69,42.45,-12.68,-5.58,-9.07,11.38,1.08,16.96,1.64,0.56,3.58,2.47,9.92,-11.58,-17.65,-0.58,-3.10
FLCSX,Fidelity® Large Cap Stock,6/22/1995,No,US Equity Large Cap Blend,151.00,825281613.00,34875.45,1.90,8.99,19.90,1.16,36.39,6.85,4.22,10.52,15.17,9.34,15.51,1.71,0.88,5.94,2.74,10.58,-5.94,-1.07,5.38,1.24
FLDGX,Meeder Dynamic Growth Retail,2/29/2000,No,US Equity Large Cap Blend,0.00,84713316.00,16778.65,1.95,7.78,17.26,0.97,32.10,8.01,4.69,11.89,16.09,9.90,16.18,1.76,0.74,5.13,2.51,19.04,126.74,-29.43,-27.55,-32.51
FLFGX,Meeder Global Opportunities Retail,1/31/2006,No,Global Equity,0.00,34205675.00,9185.91,1.83,7.79,18.76,1.21,35.86,8.51,2.80,8.73,17.14,8.34,16.96,1.60,0.89,5.28,3.34,18.49,70.49,-6.32,-3.93,1.92
FLGEX,Fidelity® Large Cap Growth Enhanced Idx,4/19/2007,No,US Equity Large Cap Growth,255.00,49418010.00,31497.65,3.29,10.35,18.67,1.38,31.14,12.67,9.38,22.96,13.46,17.52,15.50,3.29,1.14,7.14,1.93,11.15,8.99,3.15,11.13,12.77
FLMVX,JPMorgan Mid Cap Value L,11/13/1997,No,US Equity Mid Cap,105.00,5205192273.00,5978.21,1.57,6.65,16.97,0.97,37.74,4.75,2.80,7.68,13.48,7.24,14.66,1.45,0.82,4.81,3.21,9.06,-3.15,2.88,8.20,6.53
FLPSX,Fidelity® Low-Priced Stock,12/27/1989,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
FLRUX,Infrastructure Retail,6/21/1995,No,Other Sector Equity,37.00,20407448.00,7004.10,1.77,5.46,16.36,0.93,46.33,4.24,2.79,7.02,20.23,4.93,15.24,1.71,0.67,4.71,3.07,8.81,16.56,5.64,12.82,3.86
FLRYX,Nuveen Large Cap Select I,1/31/2003,No,US Equity Large Cap Blend,68.00,156781950.00,23939.36,1.97,9.31,20.54,1.45,36.49,6.22,4.39,10.19,15.60,13.81,15.23,1.86,1.17,6.27,2.68,9.70,-7.19,-0.45,7.94,18.04
FLVCX,Fidelity® Leveraged Company Stock,12/19/2000,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
FLVEX,Fidelity® Large Cap Value Enhanced Index,4/19/2007,No,US Equity Large Cap Value,213.00,70742872.00,28323.17,1.56,6.22,15.15,0.90,39.12,6.33,2.27,7.56,11.48,8.56,12.88,1.39,0.72,4.10,3.15,8.28,-6.11,-4.59,7.81,12.46
FLVIX,Fidelity Advisor® Leveraged Co StkI,12/27/2000,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
FMAGX,Fidelity® Magellan®,5/2/1963,No,US Equity Large Cap Growth,239.00,24811352695.00,17103.80,2.09,9.65,22.98,1.40,29.97,4.85,2.87,6.63,22.83,7.06,17.01,1.84,1.09,5.91,1.68,12.64,-25.28,-13.88,-19.71,-18.67
FMCCX,Fidelity Advisor® Stock Selec Mid Cp I,2/20/1996,No,US Equity Mid Cap,62.00,3061994456.00,6410.05,2.21,10.90,21.03,1.40,38.57,8.22,5.14,9.35,18.81,9.62,19.81,1.95,1.03,8.62,1.67,14.68,-1.27,-1.19,7.54,-8.70
FMCSX,Fidelity® Mid-Cap Stock,3/29/1994,No,US Equity Mid Cap,189.00,7165772939.00,4819.33,1.56,7.24,23.56,0.79,41.00,-2.09,-1.95,-2.80,30.44,0.46,17.44,1.29,0.63,3.34,2.85,12.44,-9.78,-8.14,1.94,6.54
FMDCX,Federated Mid-Cap Index Svc,11/5/1992,Yes,US Equity Mid Cap,402.00,804391799.00,2701.04,1.85,7.09,19.45,1.02,33.84,5.33,1.73,7.30,14.58,5.93,16.88,1.78,0.82,6.39,2.43,11.27,1.06,2.18,7.58,6.96
FMEIX,Fidelity® Mid Cap Enhanced Index,12/20/2007,No,US Equity Mid Cap,280.00,34733456.00,5379.61,1.89,6.41,15.95,0.85,37.73,7.92,3.80,11.73,9.33,9.56,14.03,1.78,0.67,4.64,2.65,10.38,2.21,-4.86,8.28,8.30
FMIEX,Wasatch Large Cap Value Investor,9/25/1996,No,US Equity Large Cap Value,80.00,1523362766.00,26416.67,1.94,7.81,16.93,0.80,33.82,7.07,4.30,10.77,15.89,10.44,13.49,1.82,0.61,5.12,2.63,9.04,2.87,1.92,10.43,11.11
FMIHX,FMI Large Cap,12/31/2001,No,US Equity Large Cap Blend,25.00,2398879880.00,31429.10,2.49,9.48,18.38,0.97,31.38,2.39,4.86,16.15,12.32,13.41,15.52,1.93,0.67,6.16,3.09,8.92,9.67,-12.25,0.22,-7.71
