Calender_Year_Year End,Name,Ticker,Primary_Prospectus_Benchmark,#_of_Holdings,Turnover_Ratio,Total_Market_Value,P_B,P_C,P_E,P_S,Debt_to_Capital,Net_Margin,ROA,ROE,Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth,1Yr_Return,1Yr_Return_BM
2008,FidelityÂ Select Retailing,FSRPX,S&P 500 TR USD,46,260,"46,031,832",2.36,7.36,12.71,0.5,29.38,4.52,8.89,23.69,12.85,2.22,0.46,6.31,1.99,12.55,10.07,2.73,9.48,8.76,57.82,26.46
2008,Putnam RetirementReady 2030 Y,PRRTX,S&P 500 TR USD,14,122,"46,817,283",1.6,6.11,9.81,0.77,29.7,12.6,8.37,20.7,9.99,1.35,0.67,5.08,3.63,10.37,5.58,4.45,9.11,9.93,33.41,26.46
2008,Reaves Utilities and Energy Infras Instl,RSRFX,S&P 500 TR USD,42,66,"47,472,059",1.48,5.16,9.14,0.77,49.56,11.65,6.34,20.16,9.61,1.36,0.67,4.56,3.51,12.1,16.07,7.75,11.82,0.51,23.37,26.46
2008,Boston Trust Equity,BTEFX,S&P 500 TR USD,51,24,"47,909,767",2.4,8.08,11.59,1.08,22.76,12.96,11.99,25.52,11.44,2.19,0.93,6.84,2.2,11.26,17.03,7.91,13.65,14.97,22.45,26.46
2008,VALIC Company II Cnsrv Gr Lifestyle,VCGLX,S&P 500 TR USD,13,107,"49,604,249",1.62,6.41,10.89,0.84,32.02,12.99,8.1,19.52,10.73,1.44,0.75,5.18,2.78,12.85,7.88,4.59,7.92,11.81,20.89,26.46
2008,Fidelity AdvisorÂ Biotechnology I,FBTIX,S&P 500 TR USD,71,132,"50,829,901",4.32,16.14,22.4,5.78,20.85,12.22,1.16,10.49,19.52,3.6,4.56,11.28,0,20.32,49.8,9.24,13.53,17.72,10.41,26.46
2008,Walden Equity,WSEFX,S&P 500 TR USD,58,45,"51,446,386",2.23,7.68,11.55,1.1,24.05,13.61,10.93,24.51,11.72,2.05,1.02,6.82,2.46,10.84,13.62,8.07,12.99,13.81,24.52,26.46
2008,City National Rochdale Div & Inc N,RIMHX,S&P 500 TR USD,127,7,"51,923,690",1.72,6.69,11.72,0.94,44.42,16.12,8.36,23.44,11.72,1.54,0.87,6.3,6.84,7.44,4.84,1.91,3.96,-5.14,19.21,26.46
2008,FidelityÂ Select Air Transportation Port,FSAIX,S&P 500 TR USD,35,47,"52,664,104",1.74,6.53,9.85,0.23,57.3,-5.22,-2.94,10.45,8.84,1.91,0.22,6.56,0.98,31.61,-6.53,-7.58,4.62,-30.83,22.26,26.46
2008,Weitz Balanced,WBALX,S&P 500 TR USD,83,44,"53,072,398",1.19,5.82,12.23,0.64,43.5,5.91,4.48,13.06,12.7,1.29,0.59,4.82,1.47,12.48,5.06,-2.25,9.75,6.52,28.77,26.46
2008,Bridgeway Managed Volatility,BRBPX,S&P 500 TR USD,243,44,"53,570,153",1.76,6.65,11,0.86,32.37,10.61,8.48,20.61,10.48,1.62,0.75,5.34,2.71,11.15,12.64,4.72,12.9,12.51,12.39,26.46
2008,Goldman Sachs Rising Dividend Gr A,GSRAX,S&P 500 TR USD,38,24.66,"53,657,570",2.52,7.5,10.68,0.72,33.73,13.4,10.06,26.67,10.98,2.27,0.57,6.22,4.51,11.21,13.53,6.28,15.06,5,26.79,26.46
2008,Provident Trust Strategy,PROVX,S&P 500 TR USD,23,78,"53,740,134",3.32,12.36,14.54,1.51,19.81,15.53,15.89,29.82,14.47,2.8,1.2,10.04,0.69,16.49,33.97,15.77,17.49,19.37,24.78,26.46
2008,Forester Value N,FVALX,S&P 500 TR USD,47,78,"55,835,891",1.72,5.84,9.49,0.67,36.15,9.91,8.04,20.91,9.17,1.6,0.57,5.1,4.61,8.43,15.94,-1.91,10.81,5.22,18.09,26.46
2008,Putnam RetirementReady 2025 Y,PRRPX,S&P 500 TR USD,15,118,"57,862,910",1.59,6.14,9.92,0.77,30.03,12.53,8.39,20.68,10.03,1.35,0.67,5.11,3.53,10.46,5.13,4.25,9.2,9.8,32.21,26.46
2008,Croft Value R,CLVFX,S&P 500 TR USD,81,24,"57,984,429",1.57,7.18,10.02,0.78,34.73,11.68,7.87,20.65,9.3,1.36,0.68,6.05,2.68,12.52,15.87,9.92,8.73,5.58,38.13,26.46
2008,RMB A,RMBHX,S&P 500 TR USD,42,45,"58,287,400",1.83,5.31,9.28,0.77,30.58,14.58,11.27,25.71,9.49,1.53,0.71,4.44,2.77,12,19.13,12.79,6.44,6.6,31.11,26.46
2008,Alger Growth & Income A,ALBAX,S&P 500 TR USD,184,78,"58,393,946",1.92,7.37,11.31,1.07,27.1,13.19,10.3,23.12,11.35,1.65,0.94,6.19,2.42,11.98,17.57,6.55,11.94,5.36,28.45,26.46
2008,FundX Conservative Upgrader,RELAX,S&P 500 TR USD,25,156,"58,644,457",1.82,6.93,11.43,0.88,32.05,12.95,9.39,22.4,10.94,1.64,0.79,5.95,3.45,10.3,10.75,5.29,8.98,7.77,19.81,26.46
2008,Rydex Energy Inv,RYEIX,S&P 500 TR USD,75,188,"59,762,403",1.35,3.99,6.37,0.65,22.39,17.84,12.8,26.61,6.48,1.11,0.56,3.03,1.83,10.87,17.46,16.71,20.9,20.82,39.01,26.46
2008,Pear Tree Quality Ordinary,USBOX,S&P 500 TR USD,211,171,"60,372,361",1.45,6.43,9.84,0.48,27.7,12.45,9.39,21.14,10.44,1.35,0.43,5.41,2.26,11.86,12.24,2.94,8.41,2.47,20.75,26.46
2008,Putnam RetirementReady 2020 Y,PRRNX,S&P 500 TR USD,16,115,"60,898,624",1.98,7.2,12,0.93,31.19,13.14,8.62,21.42,11.05,1.71,0.87,5.86,2.77,11.17,9.61,7.22,8.63,10.59,30.4,26.46
2008,1919 Financial Services A,SBFAX,S&P 500 TR USD,50,10,"61,302,902",1.04,,12.17,1.06,29.34,11.01,2.56,10.23,10.06,1.05,1.02,4.21,4.76,10.5,-7.51,-6.76,1.08,45.79,9.55,26.46
2008,Rydex Consumer Products Inv,RYCIX,S&P 500 TR USD,46,449,"61,619,101",2.82,9.91,12.84,0.71,42.59,11.08,11.06,31.69,12.65,2.4,0.55,8.47,3.22,9.91,12.56,0.2,10.41,0.85,19.35,26.46
2008,Lazard US Strategic Equity Instl,LZUSX,S&P 500 TR USD,71,82,"61,895,269",1.77,6.6,10.67,0.9,30.55,13.12,9.4,22.35,10.11,1.61,0.79,5.82,3.04,10.08,10.62,7.52,11.62,8.93,28.12,26.46
2008,FidelityÂ Select Industrial Equip Port,FSCGX,S&P 500 TR USD,44,92,"64,294,090",1.57,6.18,7.77,0.58,37.24,8.87,8.26,22.74,9.54,1.49,0.54,4.92,3.38,11.59,16.92,5.02,5.24,8.72,38.91,26.46
2008,Northern Technology,NTCHX,S&P 500 TR USD,69,133,"65,157,221",2.21,9.22,14.46,1.73,21.6,15.14,10.74,22.41,13.12,2.16,1.58,5.82,0.91,13.64,5.65,12.66,5.18,14.13,42.67,26.46
2008,AMG Yacktman Focused N,YAFFX,S&P 500 TR USD,37,67.11,"65,183,134",0.86,5.36,9.21,0.52,34.89,9.22,8.21,15.9,8.55,0.85,0.47,4.99,2.07,11.03,6.47,0.5,4.05,-1.82,62.76,26.46
2008,Shelton S&P 500 Index Direct,SPFIX,S&P 500 TR USD,483,3,"66,633,370",1.77,6.79,10.82,0.89,32.64,12.58,9.52,22.59,10.65,1.61,0.79,5.85,3.34,10.35,9.45,3.63,9.3,8.19,26.22,26.46
2008,Invesco Endeavor A,ATDAX,S&P 500 TR USD,25,30,"66,746,452",1.48,4.63,8.05,0.44,37.58,9.13,8.8,22.65,8.18,1.12,0.37,4.21,2.13,11.4,13.82,6.19,11.74,7.61,57.73,26.46
2008,Calamos Opportunistic Value A,CVAAX,S&P 500 TR USD,43,61,"66,832,930",2.1,7.72,11.06,1.07,25.81,13.12,12.02,26.7,11.02,1.84,0.96,7.23,3.25,9.86,8.23,2.81,8.29,2.08,31.5,26.46
2008,Meeder Dynamic Growth Retail,FLDGX,S&P 500 TR USD,23,122,"66,852,865",1.86,7.71,12.67,0.88,32.31,12.14,8.38,20.12,11.8,1.65,0.83,5.85,2.89,10.79,9.28,7.88,6.51,4.71,28.87,26.46
2008,Ave Maria Rising Dividend,AVEDX,S&P 500 TR USD,45,39,"66,867,609",2.09,7.49,11.95,0.8,31.07,9.15,9.13,22.75,10.87,1.97,0.74,6.85,3.36,11.4,10.53,5.25,8.05,5.7,25.29,26.46
2008,Copley,COPLX,S&P 500 TR USD,38,4,"66,983,089",1.7,6.08,11.46,0.68,37.33,9.07,6.93,18.5,11.61,1.57,0.6,5.64,4.12,7.68,12.49,5.99,13.73,4.85,2.36,26.46
2008,Delaware Foundation Moderate Allc I,DFFIX,S&P 500 TR USD,690,123,"67,381,376",1.7,5.96,8.02,0.78,27.98,12.96,8.64,19.68,10.48,1.36,0.68,4.9,4.16,11.47,10.86,5.81,9.72,10.07,27.78,26.46
2008,Barrett Opportunity,SAOPX,S&P 500 TR USD,29,3,"69,882,976",1.23,5.57,7.73,0.72,22.9,12.74,7.59,18.16,8.65,1.18,0.78,3.15,2.7,19.08,24.32,4.63,13.41,27.45,16.49,26.46
2008,FidelityÂ Select Consumer Finance Port,FSVLX,S&P 500 TR USD,53,36,"70,241,490",0.74,,17.24,1.6,45.57,20.54,-0.18,2.94,12.52,0.77,1.17,5.72,5.96,10.99,-4.42,-9.83,1.51,8.28,1.86,26.46
2008,Hennessy Equity and Income Institutional,HEIIX,S&P 500 TR USD,91,110,"70,366,922",1.82,6.51,9.86,1.01,32.8,15.18,9.5,25.44,10.56,1.6,0.86,5.63,4.45,9.63,10.53,4.01,8.77,3.85,18.76,26.46
2008,Rydex Nova Inv,RYNVX,S&P 500 TR USD,505,115,"70,768,379",1.75,6.81,10.92,0.91,32.88,12.45,9.39,22.32,10.73,1.58,0.81,5.88,3.43,10.34,8.67,3.75,9.04,8.26,36.08,26.46
2008,Invesco Income Allocation R5,ILAAX,S&P 500 TR USD,11,27,"70,869,795",1.51,5.9,10.45,0.92,39.95,13.69,6.74,18.91,11.58,1.29,0.85,5.28,4.95,8.98,11.54,7.07,7.08,7.34,20.95,26.46
2008,VALIC Company II Agrsv Growth Lifestyle,VAGLX,S&P 500 TR USD,14,119,"71,493,940",1.78,7.06,10.45,0.97,30.71,14.09,8.81,20.51,11.2,1.56,0.86,5.33,2.7,12.37,9.94,5.92,9.38,13.62,29.17,26.46
2008,Voya Multi-Manager Large Cp Core Port I,IPPIX,S&P 500 TR USD,105,13,"72,633,016",2.15,6.89,10.6,0.98,31.69,12.46,10.06,25.05,10.47,1.92,0.88,6.12,3.19,10.63,14.61,7.79,11.63,9.78,24.45,26.46
2008,Value Line Asset Allocation Investor,VLAAX,S&P 500 TR USD,248,25,"72,862,208",2.19,8.94,12.73,1.09,33.88,12.42,9.54,22.84,12.57,1.87,0.94,7.41,1.29,13.44,23.84,12.67,11.87,13.34,16.39,26.46
2008,Rational Dividend Capture Instl,HDCTX,S&P 500 TR USD,102,66,"73,444,102",1.32,5.62,10.95,0.82,42.63,15.08,5.69,18.05,10.2,1.2,0.75,5.43,5.57,8.1,15.38,4.91,7.7,3.54,25.24,26.46
2008,AMG FQ Global Risk-Balanced Z,MMAFX,S&P 500 TR USD,455,143,"73,698,071",1.52,5.35,5.18,0.7,29.28,13.25,8.7,22.28,6.79,1.17,0.56,3.94,4.88,9.54,11.83,8.57,9.71,13.36,23.34,26.46
2008,Janus Aspen Global Technology Instl,JGLTX,S&P 500 TR USD,89,92,"75,216,819",1.7,8.53,13.95,1.19,23.34,10.62,7.94,16.93,12.07,1.49,0.98,2.6,0.67,14.6,27.39,18.74,-0.88,-12.52,57.09,26.46
2008,InvestEd Balanced,WBLAX,S&P 500 TR USD,12,33,"75,818,425",2,7.48,8.72,0.77,30.05,13.87,9.89,24.4,8.9,1.68,0.68,6.39,3.23,11.15,8.38,7.29,11.32,10.87,16.3,26.46
2008,Virtus Sector Trend A,PWBAX,S&P 500 TR USD,19,23,"76,535,910",1.58,6.6,11.38,0.65,34.25,11.5,7.16,18.54,,,,,,,,,,,23.89,26.46
2008,Northeast Investors Growth,NTHFX,S&P 500 TR USD,48,45,"78,486,566",2.11,8.47,11.36,0.97,30.94,15.05,11.41,24.47,12.13,1.69,0.81,7.46,2.12,11.63,19.55,14.26,15.12,13.22,29.05,26.46
2008,Midas,MIDSX,S&P 500 TR USD,47,129,"79,295,715",1.9,11.18,12.73,3.97,10.24,16.15,3.93,4.16,18.76,1.1,2.3,5.53,1.04,9.8,27.78,27.04,35.2,20.51,83.01,26.46
2008,VALIC Company I Growth & Income,VCGAX,S&P 500 TR USD,55,238,"79,737,077",1.53,6.21,10.09,0.9,31.39,11.79,8.88,20.95,9.72,1.42,0.79,5.4,3.94,9.6,7.04,7.81,11.59,12.76,21.82,26.46
2008,Dreyfus Tax-Managed Growth A,DTMGX,S&P 500 TR USD,43,5.91,"81,946,352",2.53,7.89,10.33,1.12,24.85,14.6,13.45,30.39,10.84,2.17,0.91,6.68,3.53,10.22,10.89,4.8,12.89,8.37,20.29,26.46
2008,Invesco Conservative Allocation R5,CMAIX,S&P 500 TR USD,16,28,"82,103,124",1.66,5.99,9.97,0.86,29.79,13.11,9.64,22.8,10.07,1.46,0.77,5.11,3.42,10.83,11.6,2.82,7.41,11.93,17.48,26.46
2008,IMS Capital Value,IMSCX,S&P 500 TR USD,48,46,"82,362,947",1.37,5.3,11.99,0.71,42.02,8.32,4.41,11.38,11.7,1.3,0.69,4.7,2.26,11.02,0.34,1.77,-0.09,7.6,21.07,26.46
2008,Eagle Growth & Income A,HRCVX,S&P 500 TR USD,58,64,"82,609,039",1.76,7.28,10.48,1.22,32.8,16.02,12.76,30.24,9.7,1.65,1.12,6.02,4.88,9.82,17.05,-0.6,3.44,13.25,29.91,26.46
2008,USA Mutuals Vice Investor,VICEX,S&P 500 TR USD,23,36,"82,622,793",3.65,10.11,12.66,1.46,37.09,15.71,12.58,34.58,11.59,1.56,0.77,6.73,2,11.78,13.95,6.37,6.93,3.63,12.71,26.46
2008,Matrix Advisors Value,MAVFX,S&P 500 TR USD,39,43,"82,933,904",1.21,5.49,9.52,0.67,31.45,12.15,9.07,19.8,9.63,1.15,0.59,4.89,4.03,10.24,3.85,3.54,12.17,8.87,37.45,26.46
2008,Auxier Focus Inv,AUXFX,S&P 500 TR USD,149,19,"83,139,072",1.69,7.4,10.76,0.61,35.16,10.41,9.16,22.16,10.71,1.52,0.49,6.3,2.8,10.66,6.43,3.03,9.24,2.35,24.76,26.46
2008,State Street Instl US Lg-Cp Core Eq Inv,SILCX,S&P 500 TR USD,105,62,"83,467,964",1.63,6.54,9.96,0.84,34.39,13.16,9.33,22.75,9.86,1.48,0.74,5.7,3.4,10.11,13.72,5.87,10.95,6.41,26.51,26.46
2008,Ave Maria Growth,AVEGX,S&P 500 TR USD,36,22,"83,966,770",2.97,8.99,12.26,1.1,26.61,11.73,13.59,31.51,12.39,2.55,0.96,7.85,1.5,12.35,17.2,13.9,13.89,10.61,26.44,26.46
2008,Timothy Plan Large/Mid Cap Value A,TLVAX,S&P 500 TR USD,44,76.74,"84,993,622",1.78,6.82,10.49,0.82,29.33,14.03,8.89,23.21,10.03,1.63,0.7,6.04,2.21,10.54,17.07,7.47,12.12,15.2,22.19,26.46
2008,Sentinel Multi-Asset Income A,SECMX,S&P 500 TR USD,173,306,"85,493,857",1.79,6.75,10.15,1.05,31.58,13.44,9.84,24.01,10.32,1.58,0.94,5.82,3.38,10.25,14.19,6.15,9.87,8.39,17.34,26.46
2008,Meeder Muirfield Retail,FLMFX,S&P 500 TR USD,22,173,"85,808,646",1.81,7.51,12.42,0.85,33.15,11.92,8.11,19.81,11.62,1.6,0.8,5.6,3.02,10.66,9.27,7.97,6.53,5.28,18.95,26.46
2008,Henssler Equity Investor,HEQFX,S&P 500 TR USD,48,53,"85,964,930",2.13,8.23,11.67,1.15,28.06,13.87,10.54,23.89,11.56,1.93,1.01,7.1,2.9,10.63,12.22,8.1,11.55,12.46,23.97,26.46
2008,T. Rowe Price Instl Large Cap Core Gr,TPLGX,S&P 500 TR USD,131,61.8,"87,002,188",2.59,10.56,14.33,1.37,27.05,13.69,10.99,23.69,13.58,2.23,1.17,4.07,1.28,13.94,20.4,11.12,14.22,15.17,42.99,26.46
2008,FidelityÂ Select Construction & Hsg Port,FSHOX,S&P 500 TR USD,52,102,"88,053,716",1.33,4.48,14.12,0.53,34.5,3.75,2.93,8.22,14.18,1.29,0.53,3.31,3.85,10.35,-16.62,-3.23,-5.27,9.48,22.92,26.46
2008,Henderson Global Technology A,HFGAX,S&P 500 TR USD,47,196,"88,344,205",3.45,9.53,14.51,2,14.75,19.24,13.61,24.52,12.93,2.29,1.63,7.4,2.05,13.35,24.38,10.14,14.58,17.43,66.74,26.46
2008,Needham Growth Retail,NEEGX,S&P 500 TR USD,58,41,"91,361,350",1.25,7.06,11.55,0.7,28.93,6.71,6.23,18.31,12.47,1.15,0.65,6.08,1.05,14.21,13.65,-0.67,4.44,-3.04,46.87,26.46
2008,Pioneer Core Equity A,PIOTX,S&P 500 TR USD,101,87,"91,491,532",1.91,7.23,11.36,1.04,29.59,13.67,9.52,22.46,11.26,1.61,0.91,6.13,2.45,11.13,13.93,9.21,9.82,7.84,29.11,26.46
2008,Transamerica Multi-Mgd Balanced A,IBALX,S&P 500 TR USD,110,52,"92,426,397",2.15,7.98,13.14,1.1,26.28,14.35,10.72,20.87,13.33,1.95,0.98,7.07,2.68,12.71,21.2,5.22,12.1,7.65,27.55,26.46
2008,Value Line Mid Cap Focused,VLIFX,S&P 500 TR USD,101,273,"92,967,197",3.04,11.24,18.25,1.12,34.01,10.53,10.35,22.08,16.51,2.8,0.98,8.6,0.79,14.65,18.34,8.61,11.33,16.29,9.49,26.46
2008,VALIC Company I Asset Allocation,VCAAX,S&P 500 TR USD,680,124,"93,193,420",1.71,6.18,9.48,0.86,31.77,12.3,9.01,22.37,9.73,1.54,0.77,5.22,3.63,10.06,9.64,3.35,8.3,10.21,23.61,26.46
2008,Highland Total Return A,HTAAX,S&P 500 TR USD,"1,027",156,"93,514,958",1.77,7.36,5.47,1.09,29.8,15.13,9.18,20.65,5.83,1.42,0.9,5.19,3.15,12.91,21.31,12.25,12.23,14.26,21.14,26.46
2008,Madison Diversified Income A,MBLAX,S&P 500 TR USD,200,15,"94,144,519",1.77,6.91,11.2,1.14,35.24,13.27,8.1,21.36,11.06,1.64,1.04,6.26,5.48,8.43,3.39,3.28,7.72,5.02,11.08,26.46
2008,FidelityÂ Select Insurance Port,FSPCX,S&P 500 TR USD,57,60,"94,667,211",0.84,,11.15,0.65,22.72,6.78,1.81,7.49,7.61,0.77,0.67,,3.78,10.66,7.4,-9.18,-8.25,,21.83,26.46
2008,Rydex Biotechnology Inv,RYOIX,S&P 500 TR USD,47,193,"94,727,667",4.42,16.07,23.1,5.98,26.38,6.71,-1.79,8.03,21.29,3.61,4.62,8.99,0,23,63.33,1.73,16.48,20.01,19.46,26.46
2008,OCM Gold Investor,OCMGX,S&P 500 TR USD,62,5,"97,703,241",1.72,19.74,30.47,5.53,7.4,14.33,0.8,-0.65,27,1.08,3.62,12.07,0.58,11.17,14.47,37.94,29.68,6.62,50.98,26.46
2008,FidelityÂ Select Industrials,FCYIX,S&P 500 TR USD,65,108,"99,199,332",1.69,6.17,9.92,0.52,35.99,7.19,7.05,21.21,9.42,1.5,0.48,4.7,2.67,11.97,8.52,4.55,6.68,7.5,38.91,26.46
2008,InvestEd Growth,WAGRX,S&P 500 TR USD,12,18,"103,017,484",1.91,7.43,11.19,0.85,29.69,12.42,8.92,21.57,11.65,1.6,0.75,6.17,2.9,11.26,10.75,8.74,10.98,12.41,24.96,26.46
2008,PNC S&P 500 Index I,PSXIX,S&P 500 TR USD,502,29,"103,094,233",1.74,6.8,10.92,0.9,32.8,12.43,9.4,22.1,10.73,1.59,0.8,5.87,3.46,10.36,8.48,3.13,8.99,8.33,26.41,26.46
2008,Davenport Core,DAVPX,S&P 500 TR USD,58,37,"104,424,724",2.06,8.23,11.59,1.17,30.24,13.28,10.39,25.64,11.5,1.78,1.02,7.04,2.68,10.95,14.18,6.88,10.79,8.73,25.07,26.46
2008,Natixis Oakmark A,NEFOX,S&P 500 TR USD,42,38,"105,485,834",1.27,6.29,10.02,0.8,33.58,9.27,6.05,13.39,10.25,1.21,0.73,5.73,3.25,11.94,10.89,2.24,8.89,4.62,44.03,26.46
2008,AIG Focused Dividend Strategy A,FDSAX,S&P 500 TR USD,32,57,"106,291,700",1.49,4.72,5.49,0.68,38.68,12.5,9.69,29.46,8.99,1.43,0.61,4.38,9.5,7.29,27.46,-8.22,2.48,-6.14,47.83,26.46
2008,Al Frank Inv,VALUX,S&P 500 TR USD,240,6.19,"107,637,941",1.08,4.95,7.88,0.47,27.89,10.15,6.88,15.63,6.54,0.99,0.41,3.82,2.67,11.23,13.15,3.66,8.05,4.13,35.02,26.46
2008,FidelityÂ Select Transportation,FSRFX,S&P 500 TR USD,52,84,"107,928,328",1.94,6.85,14.26,0.59,39.78,6.1,4.98,14.31,12.22,1.88,0.55,6.09,1.94,19.92,-11.96,0.83,8.26,0.51,23.29,26.46
2008,Prudential Jennison Equity Income C,AGOCX,S&P 500 TR USD,65,66,"108,520,711",1.34,4.92,10.12,0.97,48.96,12.54,5.69,16.77,9.74,1.18,0.81,4.59,8.88,8.8,6.26,3.51,1.84,1.1,41.91,26.46
2008,Wasatch Long/Short Investor,FMLSX,S&P 500 TR USD,51,71,"112,514,412",1.62,6.34,8.95,0.66,28.98,12.19,9.78,22.2,8.7,1.36,0.56,5.4,4.24,9.92,5.14,6.64,10.96,2.83,30.07,26.46
2008,Invesco Value Opportunities A,VVOAX,S&P 500 TR USD,54,54,"113,070,113",1.24,5.43,10.18,0.74,36.91,9.12,4.61,13.43,9.78,1.14,0.67,4.31,3.48,9.93,16.44,4.24,8.41,9.13,30.15,26.46
2008,AT Disciplined Equity Institutional,AWEIX,S&P 500 TR USD,56,45,"117,007,721",1.91,6.48,11.72,0.99,39.48,12.48,8.17,23.29,11.18,1.68,0.88,5.69,2.89,11.16,14.07,10.04,11.96,12.59,27.68,26.46
2008,Buffalo Flexible Income,BUFBX,S&P 500 TR USD,68,17,"117,464,045",1.84,5.91,8.75,0.73,26.91,12.43,11.47,27.98,9.12,1.67,0.67,5.16,3.27,8.87,16.04,8.19,14.59,10.64,31.07,26.46
2008,FidelityÂ Focused Stock,FTQGX,S&P 500 TR USD,61,491,"118,369,966",1.97,6.87,10.93,0.96,28.77,14.78,10.51,23.98,10.98,1.67,0.83,5.65,3.08,10.04,8.86,6.85,9.54,10.51,25.2,26.46
2008,VALIC Company II Moderate Gr Lifestyle,VMGLX,S&P 500 TR USD,14,108,"118,682,386",1.73,6.72,10.24,0.91,31.22,14.02,8.47,20.02,10.47,1.52,0.81,5.26,2.67,12.88,9.16,5.76,8.5,12.88,26.1,26.46
2008,DF Dent Premier Growth,DFDPX,S&P 500 TR USD,32,21,"119,331,795",2.76,10.09,14.9,1.57,23.31,16.65,13.8,22.91,14.36,2.37,1.35,8.64,0.86,15.35,25.08,16.05,16.41,17.77,30.3,26.46
2008,PNC Multi-Factor All Cap I,PLEIX,S&P 500 TR USD,51,83,"121,505,243",1.87,7.85,11.23,1.13,31.5,16.76,10.72,24.26,10.99,1.58,0.94,6.42,1.87,12.86,24.06,12.62,15.72,14.34,27.22,26.46
2008,Pioneer Classic Balanced A,AOBLX,S&P 500 TR USD,290,50,"121,656,765",2.2,7.3,10.93,0.92,36.4,14.49,10.53,27.42,10.87,1.68,0.79,6.33,3.46,11.45,21.35,4.96,7.79,-5.26,27.37,26.46
2008,AB Core Opportunities A,ADGAX,S&P 500 TR USD,52,339,"123,861,369",1.82,5.94,9.01,0.86,25.88,13.32,10.7,26.56,8.66,1.56,0.72,4.28,1.28,12.02,24.45,7.45,12.48,20.31,22.66,26.46
2008,Dreyfus Core Equity A,DLTSX,S&P 500 TR USD,48,8.27,"124,097,012",2.36,7.43,9.63,1.04,23.68,14.45,13.27,29.93,10.46,2.12,0.88,6.36,3.42,10.1,12.3,4.7,13.24,9.33,22.37,26.46
2008,FidelityÂ Select Comms Equip Port,FSDCX,S&P 500 TR USD,67,39,"128,595,385",1.56,8.37,14.56,1.4,,17.07,9.94,14.65,13.02,1.53,1.23,6.8,0.94,15.54,14.59,7.26,14.05,13.71,80.7,26.46
2008,Highland Premier Growth Equity Y,HPEYX,S&P 500 TR USD,40,30,"129,457,197",1.87,7.45,11.61,1.56,32.75,18.19,11.3,22.09,12.15,1.76,1.31,6.11,1.47,13.99,22.92,11.96,15.48,18.12,38.82,26.46
2008,Thompson LargeCap,THPGX,S&P 500 TR USD,61,43,"132,655,972",1.21,6.89,9.5,0.69,38.66,8.72,9.17,17.26,10.29,1.16,0.66,6.44,4.3,10.83,-3.56,-5.2,5.12,6.14,37.61,26.46
2008,Aberdeen Equity Long-Short C,MLSCX,S&P 500 TR USD,50,574.27,"134,742,424",2.18,8.59,14.06,1.36,24.96,15.07,10.75,20.64,12.55,2,1.13,2.22,1.16,13.33,24.25,8.75,15.29,20.56,6.57,26.46
2008,Fidelity AdvisorÂ Financial Services I,FFSIX,S&P 500 TR USD,111,48,"134,829,555",0.89,,12.04,0.8,43.61,7.56,1.16,4.53,10.6,0.85,0.74,6.98,6.35,11.27,-4.38,-4.35,-5.32,-34.61,24.36,26.46
2008,AMG Managers Brandywine Advisors MC Gr N,BWAFX,S&P 500 TR USD,35,198,"136,130,252",2.6,10.37,15.87,1.05,39.56,11.85,8.79,21.66,14.81,2.17,0.96,8.98,0.79,13.17,17.68,13.08,8.62,8.9,11.25,26.46
2008,JPMorgan Disciplined Equity L,JPIEX,S&P 500 TR USD,236,72,"137,504,660",1.68,6.8,10.45,0.9,31.84,11.71,9.14,21.51,10.42,1.53,0.81,5.31,3.68,10.54,8.49,4.71,9.2,7.57,31.54,26.46
2008,Bridgeway Aggressive Investors 1,BRAGX,S&P 500 TR USD,74,142,"139,781,986",1.94,6.65,10.15,1.01,30.15,12.43,10.42,23.89,8.79,1.64,0.87,4.78,1.76,16.15,19.49,12.12,13.86,23.43,23.98,26.46
2008,Pacific Funds Port Optim Agrsv-Gr A,POEAX,S&P 500 TR USD,14,10,"142,501,187",1.55,5.75,9.43,0.74,31.28,13.25,8.01,19.57,10.12,1.26,0.64,4.61,4.13,10.48,12.88,7.53,9.38,9.45,33.28,26.46
2008,TETON Westwood Equity AAA,WESWX,S&P 500 TR USD,45,71,"143,000,320",1.86,6.99,10.78,1.13,30.3,13.94,9.67,25.45,10.61,1.68,0.98,5.76,3.16,9.85,11.28,7.56,12.6,15.88,12.62,26.46
2008,Salient Adaptive US Equity Institutional,ASMCX,S&P 500 TR USD,500,139.69,"143,230,955",1.46,6.87,11.97,1.05,30.62,14.91,7.8,16.3,11.8,1.33,0.93,4.06,2.68,13,10.04,4.93,4.33,7.58,32.9,26.46
2008,MainStay Conservative Allocation I,MCKIX,S&P 500 TR USD,19,35,"143,558,366",1.73,6.85,10.69,0.96,27.25,13.01,9.51,20.61,10.22,1.49,0.93,5.48,2.83,11.22,12.43,9.39,8.28,11.34,21.08,26.46
